name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
CoRoT-27 b,3296.0,15.774,Gas Giant,2014,10.39,Jupiter,1.007,Jupiter,0.0476,0.009856262,0.065,Transit
CoRoT-28 b,2499.0,13.783,Gas Giant,2015,0.484,Jupiter,0.955,Jupiter,0.0603,0.014236824,0.05,Transit
CoRoT-29 b,2631.0,15.408,Gas Giant,2015,0.85,Jupiter,0.9,Jupiter,0.0386,0.007939767,0.08,Transit
CoRoT-2 b,696.0,12.516,Gas Giant,2008,3.47,Jupiter,1.466,Jupiter,0.02798,0.0046543465,0.01,Transit
CoRoT-30 b,3367.0,15.571,Gas Giant,2020,2.9,Jupiter,1.009,Jupiter,0.0844,0.024914443,0.01,Transit
CoRoT-31 b,6543.0,15.479,Gas Giant,2020,0.84,Jupiter,1.46,Jupiter,0.0586,0.012594113,0.02,Transit
CoRoT-35 b,3664.0,15.635,Gas Giant,2022,1.1,Jupiter,1.68,Jupiter,0.0429,0.008761123,0.0,Transit
CoRoT-36 b,3020.0,13.126,Gas Giant,2022,0.68,Jupiter,1.41,Jupiter,0.066,0.015331964,0.0,Transit
CoRoT-3 b,2508.0,13.448,Gas Giant,2008,21.66,Jupiter,1.01,Jupiter,0.05783,0.011772759,0.0,Transit
CoRoT-4 b,2370.0,13.652,Gas Giant,2008,0.72,Jupiter,1.19,Jupiter,0.09,0.025188226,0.0,Transit
CoRoT-5 b,2879.0,14.043,Gas Giant,2009,0.467,Jupiter,1.388,Jupiter,0.04947,0.0109514035,0.09,Transit
CoRoT-6 b,2105.0,13.961,Gas Giant,2009,2.96,Jupiter,1.166,Jupiter,0.0855,0.02436687,0.1,Transit
CoRoT-7 b,522.0,11.728,Super Earth,2009,4.07661,Earth,1.681,Earth,0.017016,0.0024640656,0.0,Transit
CoRoT-7 c,522.0,11.728,Neptune-like,2009,8.4,Earth,0.253,Jupiter,0.046,0.010130048,0.0,Radial Velocity
CoRoT-7 d,522.0,11.728,Neptune-like,2022,17.142,Earth,0.384,Jupiter,,0.024640657,0.0,Radial Velocity
CoRoT-8 b,1050.0,14.792,Gas Giant,2010,0.22,Jupiter,0.57,Jupiter,0.063,0.016974675,0.0,Transit
CoRoT-9 b,1347.0,13.637,Gas Giant,2009,0.84,Jupiter,1.066,Jupiter,0.4021,0.2609172,0.13,Transit
CoRoTID 223977153 b,1881.0,13.626,Gas Giant,2017,0.15,Jupiter,0.57,Jupiter,0.071,0.0183436,0.0,Transit
CT Chamaleontis b,622.0,12.335,Gas Giant,2007,17.0,Jupiter,2.2,Jupiter,440.0,0.99931556,0.0,Direct Imaging
DE Canum Venaticorum b,100.0,12.956,Gas Giant,2018,12.0293,Jupiter,1.1,Jupiter,5.75,11.2,0.0,Eclipse Timing Variations
DENIS-P J082303.1-491201 b,68.0,,Gas Giant,2013,28.5,Jupiter,1.06,Jupiter,0.36,0.67460644,0.35,Astrometry
DH Tauri b,440.0,13.98,Gas Giant,2004,11.0,Jupiter,2.7,Jupiter,330.0,10441.5,0.0,Direct Imaging
DMPP-1 b,204.0,7.98,Neptune-like,2019,24.27,Earth,0.472,Jupiter,0.1462,0.050924025,0.083,Radial Velocity
DMPP-1 c,204.0,7.98,Neptune-like,2019,9.6,Earth,0.273,Jupiter,0.0733,0.018069815,0.057,Radial Velocity
DMPP-1 d,204.0,7.98,Super Earth,2019,3.35,Earth,1.65,Earth,0.0422,0.007939767,0.07,Radial Velocity
DMPP-1 e,204.0,7.98,Super Earth,2019,4.13,Earth,1.86,Earth,0.0651,0.015058179,0.07,Radial Velocity
DMPP-2 b,450.0,8.57,Gas Giant,2019,0.437,Jupiter,1.28,Jupiter,0.0664,0.014236824,0.08,Radial Velocity
DMPP-3 A b,148.0,9.066,Super Earth,2019,2.58,Earth,1.41,Earth,0.0662,0.0183436,0.14,Radial Velocity
DP Leonis b,997.0,18.6837,Gas Giant,2009,6.28,Jupiter,1.14,Jupiter,8.19,28.0,0.39,Eclipse Timing Variations
DS Tucanae A b,144.0,8.17,Neptune-like,2019,1.3,Jupiter,0.509,Jupiter,,0.022176592,0.0,Transit
EPIC 201170410.02,437.0,17.6984,Super Earth,2020,1.15,Earth,1.047,Earth,0.0349,0.018617386,0.0,Transit
EPIC 201238110 b,520.0,16.014,Super Earth,2019,4.16,Earth,1.87,Earth,,0.077207394,0.0,Transit
EPIC 201427007 b,2304.0,14.321,Super Earth,2021,2.86,Earth,1.5,Earth,,0.0019164955,0.0,Transit
EPIC 201497682 b,825.0,13.948,Terrestrial,2019,0.26,Earth,0.692,Earth,,0.0057494864,0.0,Transit
EPIC 201595106 b,757.0,11.746,Super Earth,2021,2.24,Earth,1.3,Earth,,0.0024640656,0.0,Transit
EPIC 201615463 c,1556.0,12.081,Super Earth,2019,1.98,Earth,1.22,Earth,,0.010403832,0.0,Transit
EPIC 201754305 d,1093.0,14.668,Super Earth,2019,1.08,Earth,1.03,Earth,,0.0073921974,0.0,Transit
EPIC 201757695.02,1884.0,14.974,Terrestrial,2020,0.688,Earth,0.908,Earth,0.0296,0.0054757018,0.0,Transit
EPIC 201833600 c,840.0,14.705,Terrestrial,2019,0.972,Earth,1.0,Earth,,0.0109514035,0.0,Transit
EPIC 201841433 b,1424.0,14.983,Super Earth,2019,1.12,Earth,1.04,Earth,0.035,0.011498973,0.0,Transit
EPIC 205950854 c,796.0,12.365,Super Earth,2019,2.27,Earth,1.31,Earth,,0.022176592,0.0,Transit
EPIC 206024342 b,1207.0,13.096,Super Earth,2019,3.53,Earth,1.7,Earth,,0.0123203285,0.0,Transit
EPIC 206024342 c,1207.0,13.096,Super Earth,2021,2.54,Earth,1.4,Earth,,0.0024640656,0.0,Transit
EPIC 206024342 d,1207.0,13.096,Neptune-like,2021,7.27,Earth,0.232,Jupiter,,0.039972622,0.0,Transit
